nodeclaim,createdtime,nodepool,instancetypes,launchedtime,providerid,instancetype,zone,capacitytype,registeredtime,k8snodename,initializedtime,nodereadytime,nodereadytimesec,disruptiontime,disruptionreason,disruptiondecision,disruptednodecount,replacementnodecount,disruptedpodcount,annotationtime,annotation,interruptiontime,tainttime,taint,interruptionkind,deletedtime,nodeterminationtime,nodeterminationtimesec,nodelifecycletime,nodelifecycletimesec,initialized,deleted
local-storage-raid-al2023-rpq4r,2025-03-11T12:09:01.249Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T12:09:03.721Z,i-002bdccab6c7f6f4f,m6gd.large,eu-west-1a,spot,2025-03-11T12:09:26.761Z,ip-10-0-44-43.eu-west-1.compute.internal,2025-03-11T12:09:54.053Z,52.804s,52.8,,,,,,,2025-03-11T12:14:01.074Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:14:01Z,2025-03-11T12:14:01.161Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:15:15.439Z,1m14.365s,74.4,6m14.19s,374.2,true,true
local-storage-raid-al2023-2866j,2025-03-11T12:14:02.776Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T12:14:05.023Z,i-02cb99bcbdc22a789,c7gd.large,eu-west-1b,spot,2025-03-11T12:14:24.898Z,ip-10-0-120-41.eu-west-1.compute.internal,2025-03-11T12:14:45.337Z,42.561s,42.6,,,,,,,2025-03-11T12:19:02.086Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:19:02Z,2025-03-11T12:19:02.163Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:20:07.298Z,1m5.212s,65.2,6m4.522s,364.5,true,true
local-storage-raid-al2023-bjbzv,2025-03-11T12:19:04.442Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T12:19:06.813Z,i-0cfb6e89ea70887a5,m6gd.large,eu-west-1a,spot,2025-03-11T12:19:28.473Z,ip-10-0-4-136.eu-west-1.compute.internal,2025-03-11T12:19:55.948Z,51.506s,51.5,,,,,,,2025-03-11T12:24:04.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:24:04Z,2025-03-11T12:24:04.126Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:25:44.454Z,1m40.393s,100.4,6m40.012s,400.0,true,true
local-storage-raid-al2023-c5n8h,2025-03-11T12:24:06.414Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T12:24:08.768Z,i-08286d89f3c22f00a,c7gd.large,eu-west-1c,spot,2025-03-11T12:24:29.374Z,ip-10-0-186-187.eu-west-1.compute.internal,2025-03-11T12:24:48.809Z,42.395s,42.4,,,,,,,2025-03-11T12:29:06.080Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:29:06Z,2025-03-11T12:29:06.156Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:31:02.934Z,1m56.854s,116.9,6m56.52s,416.5,true,true
local-storage-raid-al2023-tb4xg,2025-03-11T12:29:08.416Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T12:29:10.659Z,i-038703eacd427023d,c7gd.large,eu-west-1c,spot,2025-03-11T12:30:11.823Z,ip-10-0-179-24.eu-west-1.compute.internal,2025-03-11T12:30:34.771Z,1m26.355s,86.4,,,,,,,2025-03-11T12:34:08.054Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:34:08Z,2025-03-11T12:34:08.098Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:35:43.328Z,1m35.274s,95.3,6m34.912s,394.9,true,true
local-storage-raid-al2023-4v6bl,2025-03-11T12:34:09.991Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T12:34:12.251Z,i-01ad36a1a26eaddb1,c7gd.large,eu-west-1c,spot,2025-03-11T12:34:31.615Z,ip-10-0-190-228.eu-west-1.compute.internal,2025-03-11T12:34:52.657Z,42.666s,42.7,,,,,,,2025-03-11T12:39:09.055Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:39:09Z,2025-03-11T12:39:09.099Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:40:50.404Z,1m41.349s,101.3,6m40.413s,400.4,true,true
local-storage-raid-al2023-9bkxm,2025-03-11T12:39:11.518Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T12:39:13.858Z,i-0226dd9c0fa28bbc5,m6gd.large,eu-west-1a,spot,2025-03-11T12:39:34.559Z,ip-10-0-39-199.eu-west-1.compute.internal,2025-03-11T12:40:02.625Z,51.107s,51.1,,,,,,,2025-03-11T12:44:11.065Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:44:11Z,2025-03-11T12:44:11.125Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:45:35.447Z,1m24.382s,84.4,6m23.929s,383.9,true,true
local-storage-raid-al2023-8gpf9,2025-03-11T12:44:13.047Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T12:44:15.318Z,i-0acd5a2bc62773870,m6gd.large,eu-west-1a,spot,2025-03-11T12:44:38.275Z,ip-10-0-19-67.eu-west-1.compute.internal,2025-03-11T12:45:04.956Z,51.909s,51.9,,,,,,,2025-03-11T12:49:13.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:49:13Z,2025-03-11T12:49:13.112Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:51:04.747Z,1m51.695s,111.7,6m51.7s,411.7,true,true
local-storage-raid-al2023-ctnqk,2025-03-11T12:49:15.552Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T12:49:17.821Z,i-05181e8381044af18,c7gd.large,eu-west-1c,spot,2025-03-11T12:49:38.247Z,ip-10-0-167-124.eu-west-1.compute.internal,2025-03-11T12:49:58.462Z,42.91s,42.9,,,,,,,2025-03-11T12:54:15.058Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:54:15Z,2025-03-11T12:54:15.101Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T12:55:45.286Z,1m30.228s,90.2,6m29.734s,389.7,true,true
local-storage-raid-al2023-jwb7d,2025-03-11T12:54:17.029Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T12:54:19.455Z,i-0f582399728937fae,c7gd.large,eu-west-1b,spot,2025-03-11T12:54:37.996Z,ip-10-0-127-11.eu-west-1.compute.internal,2025-03-11T12:54:57.283Z,40.254s,40.3,,,,,,,2025-03-11T12:59:17.050Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T12:59:17Z,2025-03-11T12:59:17.093Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:00:46.140Z,1m29.09s,89.1,6m29.111s,389.1,true,true
local-storage-raid-al2023-hdj7v,2025-03-11T12:59:19.486Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T12:59:21.723Z,i-022c17eac83c51347,m6gd.large,eu-west-1a,spot,2025-03-11T12:59:44.196Z,ip-10-0-41-232.eu-west-1.compute.internal,2025-03-11T13:00:11.307Z,51.821s,51.8,,,,,,,2025-03-11T13:04:19.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:04:19Z,2025-03-11T13:04:19.107Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:05:38.816Z,1m19.764s,79.8,6m19.33s,379.3,true,true
local-storage-raid-al2023-fx5sc,2025-03-11T13:04:21.034Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T13:04:23.310Z,i-0b14b5cb6df39ed31,c7gd.large,eu-west-1c,spot,2025-03-11T13:04:43.325Z,ip-10-0-132-202.eu-west-1.compute.internal,2025-03-11T13:05:04.024Z,42.99s,43.0,,,,,,,2025-03-11T13:09:21.054Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:09:21Z,2025-03-11T13:09:21.099Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:10:51.895Z,1m30.841s,90.8,6m30.861s,390.9,true,true
local-storage-raid-al2023-4xvsv,2025-03-11T13:09:23.487Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T13:09:25.642Z,i-0e14f55a7424ee87f,c7gd.large,eu-west-1b,spot,2025-03-11T13:09:46.728Z,ip-10-0-86-141.eu-west-1.compute.internal,2025-03-11T13:10:08.520Z,45.033s,45.0,,,,,,,2025-03-11T13:14:23.078Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:14:23Z,2025-03-11T13:14:23.121Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:15:36.733Z,1m13.655s,73.7,6m13.246s,373.2,true,true
local-storage-raid-al2023-l7ngq,2025-03-11T13:14:24.946Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T13:14:27.073Z,i-0c8c94ff0f03adf87,c7gd.large,eu-west-1c,spot,2025-03-11T13:14:46.460Z,ip-10-0-167-87.eu-west-1.compute.internal,2025-03-11T13:15:06.658Z,41.712s,41.7,,,,,,,2025-03-11T13:19:24.058Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:19:24Z,2025-03-11T13:19:24.108Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:20:45.776Z,1m21.718s,81.7,6m20.83s,380.8,true,true
local-storage-raid-al2023-9n24p,2025-03-11T13:19:26.512Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T13:19:28.721Z,i-012a31c9cfd44558f,m6gd.large,eu-west-1a,spot,2025-03-11T13:19:49.359Z,ip-10-0-24-2.eu-west-1.compute.internal,2025-03-11T13:20:14.877Z,48.365s,48.4,,,,,,,2025-03-11T13:24:26.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:24:26Z,2025-03-11T13:24:26.119Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:26:22.179Z,1m56.116s,116.1,6m55.667s,415.7,true,true
local-storage-raid-al2023-m6djp,2025-03-11T13:24:28.059Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T13:24:30.148Z,i-0a4c1c7b872d1fbec,c7gd.large,eu-west-1c,spot,2025-03-11T13:24:49.802Z,ip-10-0-128-241.eu-west-1.compute.internal,2025-03-11T13:25:10.855Z,42.796s,42.8,,,,,,,2025-03-11T13:29:28.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:29:28Z,2025-03-11T13:29:28.096Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:31:18.776Z,1m50.724s,110.7,6m50.717s,410.7,true,true
local-storage-raid-al2023-n6ktw,2025-03-11T13:29:29.567Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T13:29:31.735Z,i-0037cc8e5217ae465,c7gd.large,eu-west-1b,spot,2025-03-11T13:29:55.377Z,ip-10-0-122-80.eu-west-1.compute.internal,2025-03-11T13:30:15.098Z,45.531s,45.5,,,,,,,2025-03-11T13:34:29.051Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:34:29Z,2025-03-11T13:34:29.095Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:35:33.223Z,1m4.172s,64.2,6m3.656s,363.7,true,true
local-storage-raid-al2023-g5649,2025-03-11T13:34:31.016Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T13:34:33.159Z,i-0db860ffa09ee4997,c7gd.large,eu-west-1b,spot,2025-03-11T13:34:53.355Z,ip-10-0-122-220.eu-west-1.compute.internal,2025-03-11T13:35:12.973Z,41.957s,42.0,,,,,,,2025-03-11T13:39:31.053Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:39:31Z,2025-03-11T13:39:31.099Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:40:25.785Z,54.732s,54.7,5m54.769s,354.8,true,true
local-storage-raid-al2023-bz6mn,2025-03-11T13:39:32.462Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T13:39:34.623Z,i-03b812db9372bf657,c7gd.large,eu-west-1c,spot,2025-03-11T13:39:55.393Z,ip-10-0-139-191.eu-west-1.compute.internal,2025-03-11T13:40:15.268Z,42.806s,42.8,,,,,,,2025-03-11T13:44:32.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:44:32Z,2025-03-11T13:44:32.095Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:46:02.103Z,1m30.051s,90.1,6m29.641s,389.6,true,true
local-storage-raid-al2023-49jm6,2025-03-11T13:44:34.020Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T13:44:36.307Z,i-050a91ce276d9aff2,c7gd.large,eu-west-1c,spot,2025-03-11T13:44:56.020Z,ip-10-0-186-148.eu-west-1.compute.internal,2025-03-11T13:45:14.571Z,40.551s,40.6,,,,,,,2025-03-11T13:49:34.053Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:49:34Z,2025-03-11T13:49:34.104Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:51:15.433Z,1m41.38s,101.4,6m41.413s,401.4,true,true
local-storage-raid-al2023-rtczv,2025-03-11T13:49:36.533Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T13:49:38.739Z,i-05682650dd078929b,c7gd.large,eu-west-1c,spot,2025-03-11T13:49:57.753Z,ip-10-0-187-186.eu-west-1.compute.internal,2025-03-11T13:50:17.872Z,41.339s,41.3,,,,,,,2025-03-11T13:54:36.057Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:54:36Z,2025-03-11T13:54:36.188Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T13:56:16.511Z,1m40.454s,100.5,6m39.978s,400.0,true,true
local-storage-raid-al2023-25mt6,2025-03-11T13:54:38.031Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T13:54:40.291Z,i-00449cb5385732b1b,c7gd.large,eu-west-1b,spot,2025-03-11T13:54:59.066Z,ip-10-0-118-87.eu-west-1.compute.internal,2025-03-11T13:55:20.854Z,42.823s,42.8,,,,,,,2025-03-11T13:59:38.058Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T13:59:38Z,2025-03-11T13:59:38.107Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:00:33.028Z,54.97s,55.0,5m54.997s,355.0,true,true
local-storage-raid-al2023-sgsnd,2025-03-11T13:59:40.702Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T13:59:43.255Z,i-03539c6e3bd8518f3,c7gd.large,eu-west-1b,spot,2025-03-11T14:00:02.630Z,ip-10-0-115-4.eu-west-1.compute.internal,2025-03-11T14:00:21.748Z,41.046s,41.0,,,,,,,2025-03-11T14:04:40.053Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:04:40Z,2025-03-11T14:04:40.097Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:06:16.231Z,1m36.178s,96.2,6m35.529s,395.5,true,true
local-storage-raid-al2023-9kptf,2025-03-11T14:04:42.380Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T14:04:44.662Z,i-094e18a9469a1557c,m6gd.large,eu-west-1a,spot,2025-03-11T14:05:06.614Z,ip-10-0-19-181.eu-west-1.compute.internal,2025-03-11T14:05:34.067Z,51.687s,51.7,,,,,,,2025-03-11T14:09:42.082Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:09:42Z,2025-03-11T14:09:42.135Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:11:12.356Z,1m30.274s,90.3,6m29.976s,390.0,true,true
local-storage-raid-al2023-7c56k,2025-03-11T14:09:43.925Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T14:09:46.111Z,i-06b2a1a354e95b392,c7gd.large,eu-west-1c,spot,2025-03-11T14:10:07.272Z,ip-10-0-188-141.eu-west-1.compute.internal,2025-03-11T14:10:26.406Z,42.481s,42.5,,,,,,,2025-03-11T14:14:43.058Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:14:43Z,2025-03-11T14:14:43.123Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:15:43.085Z,1m0.027s,60.0,5m59.16s,359.2,true,true
local-storage-raid-al2023-ct788,2025-03-11T14:14:45.446Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T14:14:47.714Z,i-0abb5f8783e9284c9,c7gd.large,eu-west-1c,spot,2025-03-11T14:15:07.187Z,ip-10-0-173-23.eu-west-1.compute.internal,2025-03-11T14:15:26.347Z,40.901s,40.9,,,,,,,2025-03-11T14:19:45.127Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:19:45Z,2025-03-11T14:19:45.214Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:20:54.512Z,1m9.385s,69.4,6m9.066s,369.1,true,true
local-storage-raid-al2023-pvdd6,2025-03-11T14:19:47.014Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T14:19:49.193Z,i-0c3fb184adf85de59,c7gd.large,eu-west-1c,spot,2025-03-11T14:20:11.264Z,ip-10-0-189-212.eu-west-1.compute.internal,2025-03-11T14:20:31.081Z,44.067s,44.1,,,,,,,2025-03-11T14:24:46.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:24:46Z,2025-03-11T14:24:46.116Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:26:06.736Z,1m20.676s,80.7,6m19.722s,379.7,true,true
local-storage-raid-al2023-n6zfp,2025-03-11T14:24:48.471Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T14:24:50.712Z,i-0b365632f5d500854,c7gd.large,eu-west-1b,spot,2025-03-11T14:25:11.037Z,ip-10-0-68-237.eu-west-1.compute.internal,2025-03-11T14:25:31.172Z,42.701s,42.7,,,,,,,2025-03-11T14:29:48.057Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:29:48Z,2025-03-11T14:29:48.102Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:31:23.441Z,1m35.384s,95.4,6m34.97s,395.0,true,true
local-storage-raid-al2023-k86hn,2025-03-11T14:29:49.955Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T14:29:52.284Z,i-014250f4d58635648,m6gd.large,eu-west-1a,spot,2025-03-11T14:30:15.124Z,ip-10-0-45-219.eu-west-1.compute.internal,2025-03-11T14:30:40.613Z,50.658s,50.7,,,,,,,2025-03-11T14:34:49.053Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:34:49Z,2025-03-11T14:34:49.099Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:35:59.453Z,1m10.4s,70.4,6m9.498s,369.5,true,true
local-storage-raid-al2023-4s7bv,2025-03-11T14:34:51.494Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T14:34:53.522Z,i-048931fefdd1bd6c7,c7gd.large,eu-west-1c,spot,2025-03-11T14:35:12.231Z,ip-10-0-145-41.eu-west-1.compute.internal,2025-03-11T14:35:32.181Z,40.687s,40.7,,,,,,,2025-03-11T14:39:51.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:39:51Z,2025-03-11T14:39:51.097Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:41:14.954Z,1m23.902s,83.9,6m23.46s,383.5,true,true
local-storage-raid-al2023-mcf9h,2025-03-11T14:39:52.982Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T14:39:55.204Z,i-0196fd3367205d09d,c7gd.large,eu-west-1c,spot,2025-03-11T14:40:13.970Z,ip-10-0-143-247.eu-west-1.compute.internal,2025-03-11T14:40:34.668Z,41.686s,41.7,,,,,,,2025-03-11T14:44:52.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:44:52Z,2025-03-11T14:44:52.141Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:46:07.547Z,1m15.486s,75.5,6m14.565s,374.6,true,true
local-storage-raid-al2023-wdp2b,2025-03-11T14:44:54.521Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T14:44:56.673Z,i-0c7d0bc21f1f2a316,m6gd.large,eu-west-1a,spot,2025-03-11T14:45:18.584Z,ip-10-0-42-29.eu-west-1.compute.internal,2025-03-11T14:45:44.222Z,49.701s,49.7,,,,,,,2025-03-11T14:49:54.054Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:49:54Z,2025-03-11T14:49:54.100Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:51:08.548Z,1m14.494s,74.5,6m14.027s,374.0,true,true
local-storage-raid-al2023-ts425,2025-03-11T14:49:56.055Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T14:49:58.383Z,i-0b8455b654b96e3b2,c7gd.large,eu-west-1c,spot,2025-03-11T14:50:18.576Z,ip-10-0-188-122.eu-west-1.compute.internal,2025-03-11T14:50:38.869Z,42.814s,42.8,,,,,,,2025-03-11T14:54:56.057Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:54:56Z,2025-03-11T14:54:56.117Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T14:56:41.712Z,1m45.655s,105.7,6m45.657s,405.7,true,true
local-storage-raid-al2023-8dggw,2025-03-11T14:54:57.605Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T14:54:59.744Z,i-05d12f312e4cd5d44,m6gd.large,eu-west-1a,spot,2025-03-11T14:55:21.605Z,ip-10-0-20-27.eu-west-1.compute.internal,2025-03-11T14:55:47.184Z,49.579s,49.6,,,,,,,2025-03-11T14:59:57.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T14:59:57Z,2025-03-11T14:59:57.095Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T15:00:56.050Z,58.998s,59.0,5m58.445s,358.4,true,true
local-storage-raid-al2023-tp2m4,2025-03-11T14:59:59.134Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T15:00:01.371Z,i-0afb58266a4ef6a90,m6gd.large,eu-west-1a,spot,2025-03-11T15:00:24.546Z,ip-10-0-57-27.eu-west-1.compute.internal,2025-03-11T15:00:50.660Z,51.526s,51.5,,,,,,,2025-03-11T15:04:59.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T15:04:59Z,2025-03-11T15:04:59.113Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T15:06:08.537Z,1m9.474s,69.5,6m9.403s,369.4,true,true
local-storage-raid-al2023-ghtsz,2025-03-11T15:05:00.666Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T15:05:02.878Z,i-0eedb31360af3b55d,c7gd.large,eu-west-1b,spot,2025-03-11T15:05:22.645Z,ip-10-0-94-194.eu-west-1.compute.internal,2025-03-11T15:05:41.478Z,40.812s,40.8,2025-03-11T15:06:47.663Z,empty,delete,1,0,0,2025-03-11T15:06:47.854Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T15:06:47Z,2025-03-11T15:06:47.898Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T15:08:02.704Z,1m14.85s,74.8,3m2.038s,182.0,true,true
local-storage-raid-al2023-77qcd,2025-03-11T15:08:52.220Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T15:08:54.340Z,i-00f08bb11be11badf,i3.large,eu-west-1c,spot,2025-03-11T15:09:35.623Z,ip-10-0-165-69.eu-west-1.compute.internal,2025-03-11T15:11:25.720Z,2m33.5s,153.5,2025-03-11T15:11:52.605Z,drifted,replace,1,1,1,2025-03-11T15:14:30.246Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T15:14:30Z,2025-03-11T15:14:30.297Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T15:15:41.455Z,1m11.209s,71.2,6m49.235s,409.2,true,true
local-storage-raid-al2023-xl5mw,2025-03-11T15:11:52.681Z,local-storage-raid-al2023,c5ad.xlarge|c6gd.2xlarge|c6gd.4xlarge|c6gd.large|c6gd.xlarge|and55others,2025-03-11T15:11:54.741Z,i-02904fbb24a785392,i3.large,eu-west-1b,spot,2025-03-11T15:12:31.010Z,ip-10-0-68-115.eu-west-1.compute.internal,2025-03-11T15:14:23.146Z,2m30.465s,150.5,,,,,,,,,,,,,,0s,0.0,0s,0.0,true,false
